customer_id,order_count,total_spend,avg_order_value,return_count,return_rate,ticket_count,tickets_last_90d,negative_ticket_count,recency_days,churn_risk_score,risk_segment,estimated_clv,customer_segment
CUST-00001,5,3209.13,641.83,1,0.2,6,5,5,32,0.559,medium,5134.64,High-Value/Stable
CUST-00002,2,666.89,333.44,0,0.0,3,1,1,78,0.268,low,1067.01,Standard/Stable
CUST-00003,1,460.08,460.08,0,0.0,1,0,1,171,0.532,medium,736.13,Standard/Stable
CUST-00004,4,739.22,184.81,0,0.0,0,0,0,25,0.049,low,1182.78,Standard/Stable
CUST-00005,2,280.42,140.21,0,0.0,3,1,2,43,0.267,low,448.67,Standard/Stable
CUST-00006,2,1857.66,928.83,0,0.0,1,0,1,239,0.55,medium,2972.26,Standard/Stable
CUST-00007,6,2759.62,459.94,1,0.1667,3,1,0,16,0.148,low,4415.42,Standard/Stable
CUST-00008,3,1620.01,540.0,0,0.0,2,1,1,97,0.339,medium,2592.0,Standard/Stable
CUST-00009,0,0,0.0,0,0.0,1,1,0,999,0.4,medium,0.0,New/No Orders
CUST-00010,5,1840.27,368.05,2,0.4,2,1,0,62,0.331,medium,2944.4,Standard/Stable
CUST-00011,2,452.4,226.2,0,0.0,2,0,1,53,0.203,low,723.84,Standard/Stable
CUST-00012,4,1442.62,360.65,0,0.0,2,0,1,50,0.197,low,2308.16,Standard/Stable
CUST-00013,7,1627.69,232.53,0,0.0,4,0,0,29,0.056,low,2604.34,Standard/Stable
CUST-00014,2,512.49,256.25,1,0.5,3,1,2,87,0.553,medium,820.0,Standard/Stable
CUST-00015,3,1297.79,432.6,0,0.0,3,0,2,43,0.217,low,2076.48,Standard/Stable
CUST-00016,2,564.31,282.15,0,0.0,3,0,2,181,0.483,medium,902.88,Standard/Stable
CUST-00017,6,1937.09,322.85,0,0.0,2,1,0,30,0.108,low,3099.36,Standard/Stable
CUST-00018,4,2495.68,623.92,1,0.25,2,1,0,21,0.191,low,3993.09,Standard/Stable
CUST-00019,3,892.16,297.39,0,0.0,1,1,0,124,0.291,low,1427.47,Standard/Stable
CUST-00020,2,391.0,195.5,1,0.5,3,0,2,135,0.596,medium,625.6,Standard/Stable
CUST-00021,6,1551.98,258.66,0,0.0,1,0,0,1,0.002,low,2483.14,Standard/Stable
CUST-00022,3,2079.25,693.08,1,0.3333,5,1,1,76,0.371,medium,3326.78,Standard/Stable
CUST-00023,1,177.2,177.2,0,0.0,1,1,0,126,0.295,low,283.52,Standard/Stable
CUST-00024,2,355.11,177.56,0,0.0,1,0,1,5,0.21,low,568.19,Standard/Stable
CUST-00025,4,789.47,197.37,0,0.0,4,0,3,159,0.459,medium,1263.17,Standard/Stable
CUST-00026,7,3923.06,560.44,2,0.2857,8,8,7,16,0.57,medium,6276.93,High-Value/Stable
CUST-00027,2,621.16,310.58,1,0.5,4,0,1,18,0.285,low,993.86,Standard/Stable
CUST-00028,3,743.62,247.87,0,0.0,2,1,2,121,0.485,medium,1189.78,Standard/Stable
CUST-00029,3,710.8,236.93,0,0.0,2,0,2,191,0.55,medium,1137.26,Standard/Stable
CUST-00030,4,1206.76,301.69,0,0.0,2,1,2,123,0.489,medium,1930.82,Standard/Stable
CUST-00031,4,2255.54,563.88,0,0.0,3,1,1,18,0.152,low,3608.83,Standard/Stable
CUST-00032,4,1709.04,427.26,0,0.0,2,0,2,0,0.2,low,2734.46,Standard/Stable
CUST-00033,2,839.17,419.58,1,0.5,2,1,2,136,0.714,high,1342.66,Low-Value/At-Risk
CUST-00034,1,370.88,370.88,0,0.0,4,2,2,147,0.486,medium,593.41,Standard/Stable
CUST-00035,1,145.73,145.73,0,0.0,0,0,0,27,0.052,low,233.17,Standard/Stable
CUST-00036,0,0,0.0,0,0.0,3,0,1,999,0.417,medium,0.0,New/No Orders
CUST-00037,0,0,0.0,0,0.0,3,0,1,999,0.417,medium,0.0,New/No Orders
CUST-00038,2,857.21,428.61,0,0.0,5,0,2,223,0.43,medium,1371.55,Standard/Stable
CUST-00039,5,2742.94,548.59,0,0.0,2,1,2,1,0.252,low,4388.72,Standard/Stable
CUST-00040,3,711.55,237.18,0,0.0,1,0,0,136,0.264,low,1138.46,Standard/Stable
CUST-00041,4,1418.3,354.57,0,0.0,2,1,0,4,0.058,low,2269.25,Standard/Stable
CUST-00042,5,2447.29,489.46,0,0.0,8,2,2,78,0.302,medium,3915.68,Standard/Stable
CUST-00043,2,220.56,110.28,0,0.0,0,0,0,78,0.152,low,352.9,Standard/Stable
CUST-00044,4,2089.67,522.42,0,0.0,3,1,1,59,0.231,low,3343.49,Standard/Stable
CUST-00045,4,1662.42,415.61,0,0.0,0,0,0,10,0.019,low,2659.9,Standard/Stable
