order_id,customer_id,product_id,order_date,quantity,amount,status
ORD-000001,CUST-00913,PROD-0033,2025-06-02,3,1210.71,delivered
ORD-000002,CUST-00573,PROD-0020,2025-09-30,2,825.62,shipped
ORD-000003,CUST-00780,PROD-0042,2025-05-26,1,435.6,delivered
ORD-000004,CUST-00262,PROD-0012,2025-03-15,1,101.25,delivered
ORD-000005,CUST-00730,PROD-0073,2025-03-03,2,747.56,delivered
ORD-000006,CUST-00283,PROD-0023,2025-06-19,1,316.8,delivered
ORD-000007,CUST-00648,PROD-0072,2025-11-11,2,647.72,delivered
ORD-000008,CUST-00467,PROD-0096,2026-08-06,1,134.32,delivered
ORD-000009,CUST-00380,PROD-0014,2025-10-23,1,137.77,returned
ORD-000010,CUST-00362,PROD-0091,2026-03-26,2,85.0,delivered
ORD-000011,CUST-00449,PROD-0025,2025-05-08,1,150.74,delivered
ORD-000012,CUST-00441,PROD-0077,2026-04-25,2,328.8,delivered
ORD-000013,CUST-00093,PROD-0085,2025-11-08,1,440.85,shipped
ORD-000014,CUST-00621,PROD-0031,2026-02-17,1,100.48,cancelled
ORD-000015,CUST-00753,PROD-0054,2025-10-06,4,1308.32,shipped
ORD-000016,CUST-00867,PROD-0005,2026-05-28,1,230.04,delivered
ORD-000017,CUST-00424,PROD-0013,2026-07-07,2,482.44,delivered
ORD-000018,CUST-00142,PROD-0028,2026-05-21,1,133.28,processing
ORD-000019,CUST-00291,PROD-0043,2026-03-25,1,194.98,shipped
ORD-000020,CUST-00432,PROD-0089,2025-03-24,2,308.8,processing
ORD-000021,CUST-00749,PROD-0099,2025-02-10,1,236.54,delivered
ORD-000022,CUST-00852,PROD-0047,2026-03-19,2,169.38,delivered
ORD-000023,CUST-00824,PROD-0071,2025-11-27,1,88.11,delivered
ORD-000024,CUST-00689,PROD-0038,2025-09-14,1,48.56,shipped
ORD-000025,CUST-00653,PROD-0096,2025-01-27,1,134.32,delivered
ORD-000026,CUST-00701,PROD-0067,2025-04-04,1,168.72,cancelled
ORD-000027,CUST-00998,PROD-0062,2025-08-23,1,323.09,delivered
ORD-000028,CUST-00049,PROD-0039,2026-08-13,1,398.5,delivered
ORD-000029,CUST-00302,PROD-0037,2025-01-22,1,281.5,cancelled
ORD-000030,CUST-00881,PROD-0086,2025-10-03,1,289.75,shipped
ORD-000031,CUST-00190,PROD-0008,2026-08-14,2,744.16,delivered
