product_id,product_name,category,unit_price,unit_cost
PROD-0001,Product 1,Grocery,40.56,21.1
PROD-0002,Product 2,Beauty,215.2,99.2
PROD-0003,Product 3,Grocery,410.24,225.76
PROD-0004,Product 4,Home,247.95,165.02
PROD-0005,Product 5,Home,230.04,174.75
PROD-0006,Product 6,Electronics,58.2,42.92
PROD-0007,Product 7,Apparel,299.67,210.61
PROD-0008,Product 8,Grocery,372.08,264.25
PROD-0009,Product 9,Electronics,178.62,119.58
PROD-0010,Product 10,Apparel,351.72,188.48
PROD-0011,Product 11,Grocery,434.44,325.56
PROD-0012,Product 12,Beauty,101.25,67.97
PROD-0013,Product 13,Grocery,241.22,153.16
PROD-0014,Product 14,Home,137.77,67.04
PROD-0015,Product 15,Home,359.27,214.67
PROD-0016,Product 16,Beauty,264.99,159.5
PROD-0017,Product 17,Electronics,289.95,213.2
PROD-0018,Product 18,Apparel,361.49,227.88
PROD-0019,Product 19,Grocery,185.44,106.73
PROD-0020,Product 20,Home,412.81,318.83
PROD-0021,Product 21,Electronics,245.47,119.43
PROD-0022,Product 22,Beauty,81.18,47.85
PROD-0023,Product 23,Home,316.8,146.95
PROD-0024,Product 24,Beauty,359.45,249.52
PROD-0025,Product 25,Grocery,150.74,113.5
PROD-0026,Product 26,Apparel,387.44,210.15
PROD-0027,Product 27,Home,408.89,299.82
PROD-0028,Product 28,Home,133.28,72.83
PROD-0029,Product 29,Grocery,442.78,332.33
PROD-0030,Product 30,Electronics,73.63,51.45
PROD-0031,Product 31,Apparel,100.48,71.91
PROD-0032,Product 32,Home,92.69,42.26
PROD-0033,Product 33,Apparel,403.57,309.83
PROD-0034,Product 34,Home,298.58,205.96
PROD-0035,Product 35,Apparel,78.62,43.29
PROD-0036,Product 36,Beauty,204.86,148.26
PROD-0037,Product 37,Home,281.5,152.83
PROD-0038,Product 38,Apparel,48.56,35.84
PROD-0039,Product 39,Electronics,398.5,194.13
PROD-0040,Product 40,Beauty,363.98,248.31
PROD-0041,Product 41,Beauty,233.28,146.6
PROD-0042,Product 42,Electronics,435.6,209.9
PROD-0043,Product 43,Apparel,194.98,103.31
PROD-0044,Product 44,Grocery,443.04,201.18
PROD-0045,Product 45,Electronics,304.55,184.16
PROD-0046,Product 46,Apparel,289.99,159.33
PROD-0047,Product 47,Electronics,84.69,54.83
PROD-0048,Product 48,Electronics,398.28,218.29
PROD-0049,Product 49,Home,199.24,109.38
PROD-0050,Product 50,Apparel,83.06,57.75
PROD-0051,Product 51,Grocery,17.52,8.16
PROD-0052,Product 52,Home,257.17,192.35
PROD-0053,Product 53,Electronics,243.0,177.69
PROD-0054,Product 54,Electronics,327.08,219.27
PROD-0055,Product 55,Electronics,401.93,259.55
PROD-0056,Product 56,Apparel,46.78,34.83
PROD-0057,Product 57,Apparel,332.4,169.91
PROD-0058,Product 58,Home,94.09,44.79
PROD-0059,Product 59,Grocery,387.88,205.2
PROD-0060,Product 60,Home,370.75,264.05
PROD-0061,Product 61,Beauty,248.87,114.84
PROD-0062,Product 62,Electronics,323.09,207.53
PROD-0063,Product 63,Electronics,149.69,116.53
PROD-0064,Product 64,Electronics,218.37,159.93
PROD-0065,Product 65,Home,371.88,231.34
PROD-0066,Product 66,Home,213.16,100.4
PROD-0067,Product 67,Electronics,168.72,122.21
PROD-0068,Product 68,Home,228.47,147.97
PROD-0069,Product 69,Apparel,374.77,182.86
PROD-0070,Product 70,Apparel,158.82,76.39
PROD-0071,Product 71,Home,88.11,66.1
PROD-0072,Product 72,Electronics,323.86,217.26
PROD-0073,Product 73,Home,373.78,270.49
PROD-0074,Product 74,Home,56.08,41.5
PROD-0075,Product 75,Home,117.06,74.76
PROD-0076,Product 76,Beauty,74.18,46.05
PROD-0077,Product 77,Apparel,164.4,97.33
PROD-0078,Product 78,Grocery,209.25,116.05
PROD-0079,Product 79,Grocery,339.99,201.76
PROD-0080,Product 80,Beauty,297.2,209.64
PROD-0081,Product 81,Home,283.97,184.19
PROD-0082,Product 82,Beauty,166.34,123.85
PROD-0083,Product 83,Beauty,380.55,226.93
PROD-0084,Product 84,Electronics,218.42,142.05
PROD-0085,Product 85,Apparel,440.85,290.23
PROD-0086,Product 86,Grocery,289.75,186.96
PROD-0087,Product 87,Home,67.3,45.89
PROD-0088,Product 88,Grocery,308.17,162.82
PROD-0089,Product 89,Grocery,154.4,95.59
PROD-0090,Product 90,Apparel,312.61,151.43
PROD-0091,Product 91,Grocery,42.5,24.52
PROD-0092,Product 92,Grocery,88.6,54.13
PROD-0093,Product 93,Beauty,386.81,257.32
PROD-0094,Product 94,Apparel,111.5,85.15
PROD-0095,Product 95,Electronics,378.62,245.43
PROD-0096,Product 96,Home,134.32,93.4
PROD-0097,Product 97,Grocery,293.58,181.16
PROD-0098,Product 98,Home,316.04,208.35
PROD-0099,Product 99,Electronics,236.54,111.98
PROD-0100,Product 100,Home,145.73,77.81
